用户名,时间,存入/支出,余额
wang,2020-12-20 04:33:48.919891,980,1000
wang,2020-12-20 04:40:09.798454,300,300
dong,2020-12-20 04:46:39.195680,800,800
dong,2020-12-20 04:49:15.449054,-300,-300
wang,2020-12-20 04:58:54.090118,200,500
wang,2020-12-20 05:11:01.673708,2000,2300.0
wang,2020-12-20 05:11:09.529418,300,800.0
wang,2020-12-20 05:11:30.880670,200,2500.0
wang,2020-12-20 05:11:37.193144,300,1100.0
wang,2020-12-20 05:13:08.589787,200,2500.0
wang,2020-12-20 05:13:47.934761,200,1300.0
wang,2020-12-20 05:13:57.103731,200,2700.0
dong,2020-12-20 05:15:24.905496,200,-100.0
dong,2020-12-20 05:15:38.801464,300,0.0
dong,2020-12-20 05:15:44.928631,200,100.0
wang,2020-12-20 05:19:02.208143,200,2900.0
wang,2020-12-20 05:20:37.312885,800,3700.0
wang,2020-12-20 05:20:44.487234,-200,3500.0
zhu,2020-12-20 05:23:18.256035,200,200